timestamp_sec,x,y,z,qx,qy,qz,qw
1785313868.4474013,0.0,0.0,0.75,0.0,0.0,0.0,1.0
1785313868.4574788,0.0,0.0,0.75,0.0,0.0,0.0,1.0
1785313868.4774563,0.0,0.0,0.75,0.0,0.0,0.0,1.0
1785313868.4824529,0.0,0.0,0.75,0.0,0.0,0.0,1.0
1785313868.497454,0.0,0.0,0.75,0.0,0.0,0.0,1.0
1785313868.5024598,0.0,0.0,0.75,0.0,0.0,0.0,1.0
1785313868.51244,0.0,0.0,0.75,0.0,0.0,0.0,1.0
1785313868.5174975,0.0,0.0,0.75,0.0,0.0,0.0,1.0
1785313868.5225034,0.0,0.0,0.75,0.0,0.0,0.0,1.0
1785313868.5374675,0.0,0.0,0.75,0.0,0.0,0.0,1.0
1785313868.5474105,0.0,0.0,0.75,0.0,0.0,0.0,1.0
1785313868.5574522,0.0,0.0,0.75,0.0,0.0,0.0,1.0
1785313868.5624697,0.0,0.0,0.75,0.0,0.0,0.0,1.0
1785313868.5674126,0.0,0.0,0.75,0.0,0.0,0.0,1.0
1785313868.572482,0.0,0.0,0.75,0.0,0.0,0.0,1.0
1785313868.5824506,0.0,0.0,0.75,0.0,0.0,0.0,1.0
1785313868.5874076,0.0,0.0,0.75,0.0,0.0,0.0,1.0
1785313868.6174753,0.0,0.0,0.75,0.0,0.0,0.0,1.0
1785313868.6874273,0.0,0.0,0.75,0.0,0.0,0.0,1.0
1785313868.707412,0.0,0.0,0.75,0.0,0.0,0.0,1.0
1785313868.717465,0.0,0.0,0.75,0.0,0.0,0.0,1.0
1785313868.8524625,0.0,0.0,0.75,0.0,0.0,0.0,1.0
1785313868.862464,0.0,0.0,0.75,0.0,0.0,0.0,1.0
1785313868.8924577,0.0,0.0,0.75,0.0,0.0,0.0,1.0
1785313868.9124546,0.0,0.0,0.75,0.0,0.0,0.0,1.0
1785313868.9324844,0.0,0.0,0.75,0.0,0.0,0.0,1.0
1785313868.9374712,0.0,0.0,0.75,0.0,0.0,0.0,1.0
1785313868.9474032,0.0,0.0,0.75,0.0,0.0,0.0,1.0
1785313868.9524639,0.0,0.0,0.75,0.0,0.0,0.0,1.0
1785313869.0024784,0.0,0.0,0.75,0.0,0.0,0.0,1.0
1785313869.0273983,0.0,0.0,0.75,0.0,0.0,0.0,1.0
1785313869.0625014,0.0,0.0,0.75,0.0,0.0,0.0,1.0
1785313869.072452,0.0,0.0,0.75,0.0,0.0,0.0,1.0
1785313869.0873976,0.0,0.0,0.75,0.0,0.0,0.0,1.0
1785313869.0924478,0.0,0.0,0.75,0.0,0.0,0.0,1.0
1785313869.09746,0.0,0.0,0.75,0.0,0.0,0.0,1.0
1785313869.102479,0.0,0.0,0.75,0.0,0.0,0.0,1.0
1785313869.1174848,0.0,0.0,0.75,0.0,0.0,0.0,1.0
1785313869.1374824,0.0,0.0,0.75,0.0,0.0,0.0,1.0
1785313869.1425006,0.0,0.0,0.75,0.0,0.0,0.0,1.0
1785313869.1474347,0.0,0.0,0.75,0.0,0.0,0.0,1.0
1785313869.1525686,0.0,0.0,0.75,0.0,0.0,0.0,1.0
1785313869.1673996,0.0,0.0,0.75,0.0,0.0,0.0,1.0
1785313869.1824408,0.0,0.0,0.75,0.0,0.0,0.0,1.0
1785313869.1873953,0.0,0.0,0.75,0.0,0.0,0.0,1.0
1785313869.1924605,0.0,0.0,0.75,0.0,0.0,0.0,1.0
1785313869.1974661,0.0,0.0,0.75,0.0,0.0,0.0,1.0
1785313869.202507,0.0,0.0,0.75,0.0,0.0,0.0,1.0
1785313869.2074957,0.0,0.0,0.75,0.0,0.0,0.0,1.0
1785313869.2174783,0.0,0.0,0.75,0.0,0.0,0.0,1.0
1785313869.222458,0.0,0.0,0.75,0.0,0.0,0.0,1.0
1785313869.2324905,0.0,0.0,0.75,0.0,0.0,0.0,1.0
1785313869.2424521,0.0,0.0,0.75,0.0,0.0,0.0,1.0
1785313869.2474148,0.0,0.0,0.75,0.0,0.0,0.0,1.0
1785313869.2525148,0.0,0.0,0.75,0.0,0.0,0.0,1.0
1785313869.2824795,0.0,0.0,0.75,0.0,0.0,0.0,1.0
1785313869.297478,0.0,0.0,0.75,0.0,0.0,0.0,1.0
1785313869.3074164,0.0,0.0,0.75,0.0,0.0,0.0,1.0
1785313869.3225217,0.0,0.0,0.75,0.0,0.0,0.0,1.0
1785313869.337459,0.0,0.0,0.75,0.0,0.0,0.0,1.0
